table_num,table_name,Item,fiber,period,period_name,value,unit
1,"U.S. textile imports, by fiber",Apparel,Linen,2004,calendar year,323641521,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2005,calendar year,283814852,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2006,calendar year,253243637,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2007,calendar year,201633960,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2008,calendar year,177881157,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2009,calendar year,118102720,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2010,calendar year,119142376,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2011,calendar year,123581519,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2012,calendar year,109855292,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2013,calendar year,100613984,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2014,calendar year,101927244,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2015,calendar year,100029463,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2016,calendar year,100215425,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2017,calendar year,93483355,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2018,calendar year,91694547,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2019,calendar year,100426655,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2020,calendar year,85769208,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2021,calendar year,103990126,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2022,calendar year,140307451,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2023,calendar year,166197640,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2024,calendar year,201924744,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Linen,2025,calendar year,187654635,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1989,calendar year,131975844,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1990,calendar year,117942796,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1991,calendar year,118917758,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1992,calendar year,130083097,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1993,calendar year,144270964,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1994,calendar year,177103553,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1995,calendar year,184211200,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1996,calendar year,193225540,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1997,calendar year,227042249,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1998,calendar year,248080575,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,1999,calendar year,233502362,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2000,calendar year,269168335,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2001,calendar year,284500344,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2002,calendar year,286882220,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2003,calendar year,284424803,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2004,calendar year,290707758,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2005,calendar year,287238554,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2006,calendar year,274814177,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2007,calendar year,297063213,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2008,calendar year,278562542,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2009,calendar year,252708155,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2010,calendar year,288345342,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2011,calendar year,293706117,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2012,calendar year,290829070,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2013,calendar year,290569179,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2014,calendar year,321165926,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2015,calendar year,334869703,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2016,calendar year,324827275,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2017,calendar year,319839885,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2018,calendar year,332136347,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2019,calendar year,334582526,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2020,calendar year,230797047,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2021,calendar year,288286180,raw fiber equivalent pounds
